"","X","az","date","senat","anordnung","link","year","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","wechsel_at_all","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"4569",1400,"2 BvR 869/15",2015-05-29,2,0,"http://www.bverfg.de/e/rk20150529_2bvr086915.html",2015,2,"Hermanns","Kessal-Wulf","König","Landau","Kessal-Wulf","König","Maidowski Müller Huber Hermanns Voßkuhle",1,"Landau","Hermanns","Kessal-Wulf König Maidowski",2,0,"4","Maidowski Müller Huber Hermanns Voßkuhle",2,FALSE,1
"4582",1325,"2 BvR 1180/15",2015-08-12,2,0,"http://www.bverfg.de/e/rk20150812_2bvr118015.html",2015,2,"Landau","König","Maidowski","Landau","Kessal-Wulf","König","Maidowski Müller Huber Hermanns Voßkuhle",1,"Kessal-Wulf","Maidowski","Landau König Maidowski",2,0,"1","Maidowski Müller Huber Hermanns Voßkuhle",2,FALSE,0
"4583",1310,"2 BvR 1554/15",2015-08-25,2,0,"http://www.bverfg.de/e/rk20150825_2bvr155415.html",2015,2,"Landau","Kessal-Wulf","Maidowski","Landau","Kessal-Wulf","König","Maidowski Müller Huber Hermanns Voßkuhle",1,"König","Maidowski","Landau Kessal-Wulf Maidowski",1,0,"1","Maidowski Müller Huber Hermanns Voßkuhle",1,FALSE,0
"4629",918,"2 BvQ 36/16",2016-08-10,2,1,"http://www.bverfg.de/e/qk20160810_2bvq003616.html",2016,2,"Müller","König","Langenfeld","Huber","Kessal-Wulf","König","Langenfeld Müller Hermanns Maidowski Voßkuhle",1,"Huber Kessal-Wulf","Müller Langenfeld","König Langenfeld Müller",1,0,"1 2","Langenfeld Müller Voßkuhle",1,FALSE,0
"4634",909,"2 BvR 1714/16",2016-08-25,2,0,"http://www.bverfg.de/e/rk20160825_2bvr171416.html",2016,2,"Müller","Kessal-Wulf","Langenfeld","Huber","Kessal-Wulf","König","Langenfeld Müller Hermanns Maidowski Voßkuhle",1,"Huber König","Müller Langenfeld","Kessal-Wulf Langenfeld Müller",0,1,"1 2","Langenfeld Müller Voßkuhle",0,FALSE,0
"4637",901,"2 BvR 890/16",2016-09-06,2,0,"http://www.bverfg.de/e/rk20160906_2bvr089016.html",2016,2,"König","Maidowski","Langenfeld","Huber","Kessal-Wulf","König","Langenfeld Müller Hermanns Maidowski Voßkuhle",1,"Huber Kessal-Wulf","Maidowski Langenfeld","König Langenfeld Müller",1,0,"1 3","Langenfeld Müller Maidowski Voßkuhle",2,FALSE,1
"4658",788,"2 BvR 2023/16",2016-12-23,2,0,"http://www.bverfg.de/e/rk20161223_2bvr202316.html",2016,2,"Huber","Kessal-Wulf","Langenfeld","Huber","Kessal-Wulf","König","Langenfeld Müller Hermanns Maidowski Voßkuhle",1,"König","Langenfeld","Huber Kessal-Wulf Langenfeld",0,1,"1","Langenfeld Müller Hermanns Maidowski Voßkuhle",0,FALSE,0
"4683",663,"2 BvQ 22/17",2017-05-05,2,1,"http://www.bverfg.de/e/qk20170505_2bvq002217.html",2017,2,"Hermanns","Kessal-Wulf","Langenfeld","Huber","Kessal-Wulf","König","Langenfeld Müller Hermanns Maidowski Voßkuhle",1,"Huber König","Hermanns Langenfeld","Kessal-Wulf Langenfeld Müller",0,1,"1 3","Langenfeld Müller Hermanns Maidowski Voßkuhle",1,FALSE,1
"4712",524,"2 BvR 1866/17",2017-09-07,2,0,"http://www.bverfg.de/e/rk20170907_2bvr186617.html",2017,2,"König","Maidowski","Langenfeld","Huber","Kessal-Wulf","König","Langenfeld Müller Hermanns Maidowski Voßkuhle",1,"Huber Kessal-Wulf","Maidowski Langenfeld","König Langenfeld Müller",1,0,"1 3","Langenfeld Müller Maidowski Voßkuhle",2,FALSE,1
"4753",332,"2 BvQ 35/18",2018-04-27,2,1,"http://www.bverfg.de/e/qk20180427_2bvq003518.html",2018,2,"Kessal-Wulf","König","Langenfeld","Huber","Kessal-Wulf","König","Langenfeld Müller Hermanns Maidowski Voßkuhle",1,"Huber","Langenfeld","Kessal-Wulf König Langenfeld",1,0,"1","Langenfeld Müller Hermanns Maidowski Voßkuhle",1,FALSE,0
"4762",229,"2 BvR 1845/18",2018-08-24,2,0,"http://www.bverfg.de/e/rk20180824_2bvr184518.html",2018,2,"Huber","Müller","Kessal-Wulf","Huber","Kessal-Wulf","König","Langenfeld Müller Hermanns Maidowski Voßkuhle",1,"König","Müller","Huber Kessal-Wulf Langenfeld",0,1,"2","Langenfeld Müller Hermanns Maidowski Voßkuhle",0,FALSE,1
"4830",6774,"2 BvR 1206/98",1998-07-31,2,0,"http://www.bverfg.de/e/rk19980731_2bvr120698.html",1998,3,"Graßhof","Kirchhof","Jentsch","Limbach","Graßhof","Kirchhof","Hassemer Jentsch Sommer Winter Kruis",1,"Limbach","Jentsch","Graßhof Kirchhof Jentsch",1,0,"1","Jentsch Sommer Winter Kruis",1,FALSE,0
"4833",6760,"2 BvQ 28/98",1998-08-11,2,1,"http://www.bverfg.de/e/qk19980811_2bvq002898.html",1998,3,"Limbach","Graßhof","Sommer","Limbach","Graßhof","Kirchhof","Hassemer Jentsch Sommer Winter Kruis",1,"Kirchhof","Sommer","Limbach Graßhof Hassemer",3,1,"3","Hassemer Jentsch Sommer Winter Kruis",3,FALSE,1
"4847",6551,"2 BvQ 5/99",1999-03-31,2,1,"http://www.bverfg.de/e/qk19990331_2bvq000599.html",1999,3,"Kirchhof","Jentsch","Osterloh","Limbach","Kirchhof","Jentsch","Osterloh Broß Sommer Winter Hassemer",1,"Limbach","Osterloh","Kirchhof Jentsch Osterloh",1,0,"1","Osterloh Broß Sommer Winter",1,FALSE,0
"4856",6461,"2 BvR 1177/99",1999-07-26,2,0,"http://www.bverfg.de/e/rk19990726_2bvr117799.html",1999,3,"Limbach","Jentsch","Osterloh","Limbach","Kirchhof","Jentsch","Osterloh Broß Sommer Winter Hassemer",1,"Kirchhof","Osterloh","Limbach Jentsch Osterloh",2,0,"1","Osterloh Broß Sommer Hassemer",2,FALSE,0
"4857",6439,"2 BvR 1442/99",1999-08-13,2,0,"http://www.bverfg.de/e/rk19990813_2bvr144299.html",1999,3,"Limbach","Sommer","Jentsch","Limbach","Kirchhof","Jentsch","Osterloh Broß Sommer Winter Hassemer",1,"Kirchhof","Sommer","Limbach Jentsch Osterloh",2,0,"3","Osterloh Broß Sommer Hassemer",2,FALSE,1
"4859",6437,"2 BvR 1307/99",1999-08-16,2,0,"http://www.bverfg.de/e/rk19990816_2bvr130799.html",1999,3,"Sommer","Jentsch","Broß","Limbach","Kirchhof","Jentsch","Osterloh Broß Sommer Winter Hassemer",1,"Limbach","Broß","Sommer Jentsch Osterloh",2,0,"2","Osterloh Broß Hassemer",1,FALSE,1
"4871",6285,"2 BvQ 60/99",2000-01-12,2,1,"http://www.bverfg.de/e/qk20000112_2bvq006099.html",2000,3,"Hassemer","Broß","DiFabio","Limbach","Winter","Hassemer","DiFabio Jentsch Osterloh Broß Sommer",1,"Limbach Winter","BroßDiFabio BroßDiFabio","Hassemer Broß DiFabio BroßDiFabio Jentsch",1,0,"1","BroßDiFabio Jentsch",1,FALSE,0
"4882",6232,"2 BvR 2352/99",2000-02-24,2,0,"http://www.bverfg.de/e/rk20000224_2bvr235299.html",2000,3,"Hassemer","Broß","DiFabio","Limbach","Winter","Hassemer","DiFabio Jentsch Osterloh Broß Sommer",1,"Limbach Winter","BroßDiFabio BroßDiFabio","Hassemer Broß DiFabio BroßDiFabio Jentsch",1,0,"1","BroßDiFabio Jentsch Osterloh Sommer",1,FALSE,0
"4912",6067,"2 BvR 1261/00",2000-07-31,2,0,"http://www.bverfg.de/e/rk20000731_2bvr126100.html",2000,3,"Hassemer","Broß","Osterloh","Limbach","Winter","Hassemer","DiFabio Jentsch Osterloh Broß Sommer",1,"Limbach","Osterloh","Hassemer Broß BroßDiFabio",1,0,"3","BroßDiFabio Jentsch Osterloh Sommer",2,FALSE,1
"4916",6051,"2 BvR 1372/00",2000-08-21,2,0,"http://www.bverfg.de/e/rk20000821_2bvr137200.html",2000,3,"Limbach","Sommer","Broß","Limbach","Winter","Hassemer","DiFabio Jentsch Osterloh Broß Sommer",1,"Hassemer","Sommer","Limbach Broß BroßDiFabio",1,0,"4","BroßDiFabio Jentsch Osterloh Sommer",2,FALSE,1
"4981",5625,"2 BvQ 30/01",2001-08-01,2,1,"http://www.bverfg.de/e/qk20010801_2bvq003001.html",2001,3,"Hassemer","DiFabio","Mellinghoff","Limbach","Hassemer","Mellinghoff","DiFabio Jentsch Broß Sommer Osterloh",1,"Limbach","DiFabio","Hassemer Mellinghoff DiFabio",1,0,"1","DiFabio Jentsch Broß Sommer Osterloh",1,FALSE,0
"4983",5609,"2 BvR 1349/01",2001-08-14,2,0,"http://www.bverfg.de/e/rk20010814_2bvr134901.html",2001,3,"Limbach","Jentsch","Hassemer","Limbach","Hassemer","Mellinghoff","DiFabio Jentsch Broß Sommer Osterloh",1,"Mellinghoff","Jentsch","Limbach Hassemer DiFabio",2,0,"2","DiFabio Jentsch Broß Sommer Osterloh",2,FALSE,1
"4991",5585,"2 BvR 1523/01",2001-09-10,2,0,"http://www.bverfg.de/e/rk20010910_2bvr152301.html",2001,3,"Limbach","Hassemer","Osterloh","Limbach","Hassemer","Mellinghoff","DiFabio Jentsch Broß Sommer Osterloh",1,"Mellinghoff","Osterloh","Limbach Hassemer DiFabio",2,0,"5","DiFabio Jentsch Broß Sommer Osterloh",3,FALSE,1
"4993",5570,"2 BvR 1349/01",2001-09-20,2,0,"http://www.bverfg.de/e/rk20010920_2bvr134901.html",2001,3,"Broß","Hassemer","Mellinghoff","Limbach","Hassemer","Mellinghoff","DiFabio Jentsch Broß Sommer Osterloh",1,"Limbach","Broß","Hassemer Mellinghoff DiFabio",1,0,"3","DiFabio Jentsch Broß Sommer Osterloh",1,FALSE,1
"5057",5396,"2 BvQ 7/02",2002-01-30,2,1,"http://www.bverfg.de/e/qk20020130_2bvq000702.html",2002,3,"Limbach","Hassemer","DiFabio","Limbach","Hassemer","Mellinghoff","DiFabio Jentsch Broß Sommer Osterloh",1,"Mellinghoff","DiFabio","Limbach Hassemer DiFabio",2,0,"1","DiFabio Jentsch Broß Sommer Osterloh",2,FALSE,0
"5080",5324,"2 BvR 397/02",2002-03-21,2,0,"http://www.bverfg.de/e/rk20020321_2bvr039702.html",2002,3,"Sommer","Hassemer","Osterloh","Limbach","Hassemer","Mellinghoff","DiFabio Jentsch Broß Sommer Osterloh",1,"Limbach Mellinghoff","Sommer Osterloh","Hassemer DiFabio Jentsch",1,0,"4 5","DiFabio Jentsch Broß Sommer Osterloh",3,FALSE,1
"5102",5237,"2 BvQ 31/02",2002-06-20,2,1,"http://www.bverfg.de/e/qk20020620_2bvq003102.html",2002,3,"Sommer","Osterloh","Mellinghoff","Hassemer","Osterloh","Mellinghoff","Lübbe-Wolff DiFabio Sommer Broß Jentsch",1,"Hassemer","Sommer","Osterloh Mellinghoff DiFabio",1,0,"2","DiFabio Sommer Jentsch",2,FALSE,1
"5103",5229,"2 BvR 729/02",2002-06-27,2,0,"http://www.bverfg.de/e/rk20020627_2bvr072902.html",2002,3,"Hassemer","Sommer","Lübbe-Wolff","Hassemer","Osterloh","Mellinghoff","Lübbe-Wolff DiFabio Sommer Broß Jentsch",1,"Osterloh Mellinghoff","Sommer Lübbe-Wolff","Hassemer Lübbe-Wolff DiFabio",2,0,"1 3","Lübbe-Wolff DiFabio Sommer Jentsch",3,FALSE,1
"5115",5177,"2 BvR 932/02",2002-08-12,2,0,"http://www.bverfg.de/e/rk20020812_2bvr093202.html",2002,3,"Hassemer","Sommer","Broß","Hassemer","Osterloh","Mellinghoff","Lübbe-Wolff DiFabio Sommer Broß Jentsch",1,"Osterloh Mellinghoff","Sommer Broß","Hassemer Lübbe-Wolff DiFabio",2,0,"3 4","Lübbe-Wolff DiFabio Sommer Broß Jentsch",2,FALSE,1
"5161",5056,"2 BvR 1570/00",2002-12-10,2,0,"http://www.bverfg.de/e/rk20021210_2bvr157000.html",2002,3,"Hassemer","Osterloh","Lübbe-Wolff","Hassemer","Osterloh","Mellinghoff","Lübbe-Wolff DiFabio Sommer Broß Jentsch",1,"Mellinghoff","Lübbe-Wolff","Hassemer Osterloh Lübbe-Wolff",3,1,"1","Lübbe-Wolff DiFabio Sommer Broß Jentsch",3,FALSE,0
"5177",5014,"2 BvR 2045/02",2003-01-02,2,0,"http://www.bverfg.de/e/rk20030102_2bvr204502.html",2003,3,"Hassemer","Broß","Mellinghoff","Hassemer","Osterloh","Mellinghoff","Lübbe-Wolff DiFabio Sommer Broß Jentsch",1,"Osterloh","Broß","Hassemer Mellinghoff Lübbe-Wolff",2,0,"4","Lübbe-Wolff DiFabio Sommer Broß Jentsch",1,FALSE,1
"5215",4829,"2 BvR 1071/03",2003-08-06,2,0,"http://www.bverfg.de/e/rk20030806_2bvr107103.html",2003,3,"Hassemer","Broß","Mellinghoff","Hassemer","Osterloh","Mellinghoff","Gerhardt DiFabio Broß Lübbe-Wolff Jentsch",1,"Osterloh","Broß","Hassemer Mellinghoff Gerhardt",2,0,"3","Gerhardt DiFabio Broß Lübbe-Wolff Jentsch",1,FALSE,1
"5287",4549,"2 BvR 1802/02",2004-06-03,2,0,"http://www.bverfg.de/e/rk20040603_2bvr180202.html",2004,3,"Osterloh","Mellinghoff","Gerhardt","Hassemer","Osterloh","Mellinghoff","Gerhardt DiFabio Broß Lübbe-Wolff Jentsch",1,"Hassemer","Gerhardt","Osterloh Mellinghoff Gerhardt",2,0,"1","Gerhardt DiFabio Broß Lübbe-Wolff Jentsch",2,FALSE,0
"5362",4126,"2 BvR 2057/05",2005-12-29,2,0,"http://www.bverfg.de/e/rk20051229_2bvr205705.html",2005,3,"Broß","Osterloh","Landau","Broß","Osterloh","Mellinghoff","Landau DiFabio Hassemer Gerhardt Lübbe-Wolff",1,"Mellinghoff","Landau","Broß Osterloh Landau",1,0,"1","Landau DiFabio Gerhardt Lübbe-Wolff",1,FALSE,0
"5378",4031,"2 BvR 619/06",2006-04-06,2,0,"http://www.bverfg.de/e/rk20060406_2bvr061906.html",2006,3,"Osterloh","Mellinghoff","Landau","Broß","Osterloh","Mellinghoff","Landau DiFabio Hassemer Gerhardt Lübbe-Wolff",1,"Broß","Landau","Osterloh Mellinghoff Landau",1,0,"1","Landau DiFabio Hassemer Gerhardt Lübbe-Wolff",1,FALSE,0
"5394",3922,"2 BvR 375/00",2006-07-14,2,0,"http://www.bverfg.de/e/rk20060714_2bvr037500.html",2006,3,"Broß","Osterloh","Landau","Broß","Osterloh","Mellinghoff","Landau DiFabio Hassemer Gerhardt Lübbe-Wolff",1,"Mellinghoff","Landau","Broß Osterloh Landau",1,0,"1","Landau DiFabio Hassemer Gerhardt Lübbe-Wolff",1,FALSE,0
"5397",3891,"2 BvR 1552/06",2006-08-24,2,0,"http://www.bverfg.de/e/rk20060824_2bvr155206.html",2006,3,"DiFabio","Mellinghoff","Gerhardt","Broß","Osterloh","Mellinghoff","Landau DiFabio Hassemer Gerhardt Lübbe-Wolff",1,"Broß Osterloh","DiFabio Gerhardt","Mellinghoff Landau DiFabio",0,1,"2 4","Landau DiFabio Hassemer Gerhardt Lübbe-Wolff",1,FALSE,1
"5418",3629,"2 BvR 1609/07",2007-08-08,2,0,"http://www.bverfg.de/e/rk20070808_2bvr160907.html",2007,3,"Broß","Mellinghoff","Landau","Broß","Osterloh","Mellinghoff","Landau DiFabio Hassemer Gerhardt Lübbe-Wolff",1,"Osterloh","Landau","Broß Mellinghoff Landau",0,1,"1","Landau DiFabio Hassemer Gerhardt Lübbe-Wolff",0,FALSE,0
"5419",3626,"2 BvR 1485/07",2007-08-15,2,0,"http://www.bverfg.de/e/rk20070815_2bvr148507.html",2007,3,"Broß","Mellinghoff","Gerhardt","Broß","Osterloh","Mellinghoff","Landau DiFabio Hassemer Gerhardt Lübbe-Wolff",1,"Osterloh","Gerhardt","Broß Mellinghoff Landau",0,1,"4","Landau DiFabio Hassemer Gerhardt Lübbe-Wolff",1,FALSE,1
"5477",3327,"2 BvR 1794/08",2008-09-03,2,0,"http://www.bverfg.de/e/rk20080903_2bvr179408.html",2008,3,"Voßkuhle","Mellinghoff","Lübbe-Wolff","Mellinghoff","Lübbe-Wolff","Gerhardt","Voßkuhle Osterloh Landau DiFabio Broß",1,"Gerhardt","Voßkuhle","Mellinghoff Lübbe-Wolff Voßkuhle",2,0,"1","Voßkuhle Osterloh Landau DiFabio Broß",2,FALSE,0
"5514",2991,"2 BvR 1274/09",2009-07-30,2,0,"http://www.bverfg.de/e/rk20090730_2bvr127409.html",2009,3,"Voßkuhle","Mellinghoff","Gerhardt","Voßkuhle","Mellinghoff","Lübbe-Wolff","Gerhardt Osterloh Landau DiFabio Broß",1,"Lübbe-Wolff","Gerhardt","Voßkuhle Mellinghoff Gerhardt",2,0,"1","Gerhardt Osterloh Landau Broß",2,FALSE,0
"5515",2987,"2 BvQ 45/09",2009-07-31,2,1,"http://www.bverfg.de/e/qk20090731_2bvq004509.html",2009,3,"Voßkuhle","DiFabio","Mellinghoff","Voßkuhle","Mellinghoff","Lübbe-Wolff","Gerhardt Osterloh Landau DiFabio Broß",1,"Lübbe-Wolff","DiFabio","Voßkuhle Mellinghoff Gerhardt",2,0,"4","Gerhardt Osterloh Landau DiFabio Broß",1,FALSE,1
"5518",2965,"2 BvR 1898/09",2009-08-24,2,0,"http://www.bverfg.de/e/rk20090824_2bvr189809.html",2009,3,"Mellinghoff","Lübbe-Wolff","Gerhardt","Voßkuhle","Mellinghoff","Lübbe-Wolff","Gerhardt Osterloh Landau DiFabio Broß",1,"Voßkuhle","Gerhardt","Mellinghoff Lübbe-Wolff Gerhardt",2,0,"1","Gerhardt Osterloh Landau DiFabio Broß",2,FALSE,0
"5524",2945,"2 BvQ 57/09",2009-09-08,2,1,"http://www.bverfg.de/e/qk20090908_2bvq005709.html",2009,3,"Voßkuhle","Osterloh","Gerhardt","Voßkuhle","Mellinghoff","Lübbe-Wolff","Gerhardt Osterloh Landau DiFabio Broß",1,"Mellinghoff Lübbe-Wolff","Osterloh Gerhardt","Voßkuhle Gerhardt Osterloh",3,1,"1 2","Gerhardt Osterloh Landau DiFabio Broß",3,FALSE,0
"5555",2657,"2 BvR 1646/10",2010-08-05,2,0,"http://www.bverfg.de/e/rk20100805_2bvr164610.html",2010,3,"Voßkuhle","Mellinghoff","Gerhardt","Voßkuhle","Mellinghoff","Lübbe-Wolff","Gerhardt Osterloh Landau DiFabio Broß",1,"Lübbe-Wolff","Gerhardt","Voßkuhle Mellinghoff Gerhardt",2,0,"1","Gerhardt Osterloh Landau DiFabio Broß",2,FALSE,0
"5558",2649,"2 BvR 1762/10",2010-08-16,2,0,"http://www.bverfg.de/e/rk20100816_2bvr176210.html",2010,3,"Voßkuhle","Mellinghoff","Gerhardt","Voßkuhle","Mellinghoff","Lübbe-Wolff","Gerhardt Osterloh Landau DiFabio Broß",1,"Lübbe-Wolff","Gerhardt","Voßkuhle Mellinghoff Gerhardt",2,0,"1","Gerhardt Osterloh Landau DiFabio Broß",2,FALSE,0
"5559",2644,"2 BvQ 56/10",2010-08-23,2,1,"http://www.bverfg.de/e/qk20100823_2bvq005610.html",2010,3,"Voßkuhle","Lübbe-Wolff","Gerhardt","Voßkuhle","Mellinghoff","Lübbe-Wolff","Gerhardt Osterloh Landau DiFabio Broß",1,"Mellinghoff","Gerhardt","Voßkuhle Lübbe-Wolff Gerhardt",3,1,"1","Gerhardt Osterloh Landau DiFabio Broß",3,FALSE,0
"5586",2428,"2 BvR 633/11",2011-04-21,2,0,"http://www.bverfg.de/e/rk20110421_2bvr063311.html",2011,3,"Mellinghoff","Lübbe-Wolff","Landau","Mellinghoff","Lübbe-Wolff","Huber","Landau Gerhardt Voßkuhle Hermanns DiFabio",1,"Huber","Landau","Mellinghoff Lübbe-Wolff Landau",1,0,"1","Landau Gerhardt Voßkuhle Hermanns DiFabio",1,FALSE,0
"5592",2405,"2 BvR 942/11",2011-05-17,2,0,"http://www.bverfg.de/e/rk20110517_2bvr094211.html",2011,3,"Mellinghoff","Landau","Huber","Mellinghoff","Lübbe-Wolff","Huber","Landau Gerhardt Voßkuhle Hermanns DiFabio",1,"Lübbe-Wolff","Landau","Mellinghoff Huber Landau",0,1,"1","Landau Gerhardt Voßkuhle Hermanns DiFabio",0,FALSE,0
"5606",2315,"2 BvR 1516/11",2011-09-15,2,0,"http://www.bverfg.de/e/rk20110915_2bvr151611.html",2011,3,"Lübbe-Wolff","Landau","Huber","Mellinghoff","Lübbe-Wolff","Huber","Landau Gerhardt Voßkuhle Hermanns DiFabio",1,"Mellinghoff","Landau","Lübbe-Wolff Huber Landau",1,0,"1","Landau Gerhardt Voßkuhle Hermanns DiFabio",1,FALSE,0
"5629",2271,"2 BvR 2567/10",2011-10-28,2,0,"http://www.bverfg.de/e/rk20111028_2bvr256710.html",2011,3,"Huber","Landau","Lübbe-Wolff","Mellinghoff","Lübbe-Wolff","Huber","Landau Gerhardt Voßkuhle Hermanns DiFabio",1,"Mellinghoff","Landau","Huber Lübbe-Wolff Landau",1,0,"1","Landau Gerhardt Voßkuhle Hermanns",1,FALSE,0
"5656",2086,"2 BvR 611/12",2012-05-31,2,0,"http://www.bverfg.de/e/rk20120531_2bvr061112.html",2012,3,"Lübbe-Wolff","Gerhardt","Huber","Lübbe-Wolff","Huber","Kessal-Wulf","Landau Gerhardt Voßkuhle Müller Hermanns",1,"Kessal-Wulf","Gerhardt","Lübbe-Wolff Huber Landau",1,0,"2","Landau Gerhardt Voßkuhle Müller Hermanns",2,FALSE,1
"5719",1635,"2 BvR 878/14",2014-06-04,2,0,"http://www.bverfg.de/e/rk20140604_2bvr087814.html",2014,3,"Huber","Kessal-Wulf","König","Landau","Kessal-Wulf","König","Huber Gerhardt Voßkuhle Müller Hermanns",1,"Landau","Huber","Kessal-Wulf König Huber",1,0,"1","Huber Gerhardt Voßkuhle Müller Hermanns",1,FALSE,0
"5735",1546,"2 BvR 2343/14",2014-10-14,2,0,"http://www.bverfg.de/e/rk20141014_2bvr234314.html",2014,3,"Landau","Müller","Maidowski","Huber","Müller","Maidowski","Hermanns Landau Voßkuhle König Kessal-Wulf",1,"Huber","Landau","Müller Maidowski Hermanns",2,0,"2","Hermanns Landau Voßkuhle König Kessal-Wulf",1,FALSE,1
"5740",1526,"2 BvR 2735/14",2014-11-27,2,0,"http://www.bverfg.de/e/rk20141127_2bvr273514.html",2014,3,"Huber","Hermanns","Müller","Huber","Müller","Maidowski","Hermanns Landau Voßkuhle König Kessal-Wulf",1,"Maidowski","Hermanns","Huber Müller Hermanns",1,0,"1","Hermanns Landau Voßkuhle König Kessal-Wulf",1,FALSE,0
"5773",1307,"2 BvR 2343/14",2015-09-02,2,0,"http://www.bverfg.de/e/rk20150902_2bvr234314.html",2015,3,"Müller","Kessal-Wulf","Maidowski","Huber","Müller","Maidowski","Hermanns Landau Voßkuhle König Kessal-Wulf",1,"Huber","Kessal-Wulf","Müller Maidowski Hermanns",2,0,"4","Hermanns Landau Voßkuhle Kessal-Wulf",1,FALSE,1
"5784",1208,"2 BvQ 43/15",2015-11-27,2,1,"http://www.bverfg.de/e/qk20151127a_2bvq004315.html",2015,3,"Landau","Müller","Kessal-Wulf","Huber","Müller","Maidowski","Hermanns Landau Voßkuhle König Kessal-Wulf",1,"Huber Maidowski","Landau Kessal-Wulf","Müller Hermanns Landau",1,0,"2 5","Hermanns Landau Voßkuhle König Kessal-Wulf",0,FALSE,1
"5808",1076,"2 BvR 273/16",2016-04-21,2,0,"http://www.bverfg.de/e/rk20160421_2bvr027316.html",2016,3,"Hermanns","Müller","Maidowski","Huber","Müller","Maidowski","Hermanns Landau Voßkuhle König Kessal-Wulf",1,"Huber","Hermanns","Müller Maidowski Hermanns",2,0,"1","Hermanns Landau König Kessal-Wulf",2,FALSE,0
"5809",1067,"2 BvR 890/16",2016-04-29,2,0,"http://www.bverfg.de/e/rk20160429_2bvr089016.html",2016,3,"Huber","Kessal-Wulf","Maidowski","Huber","Müller","Maidowski","Hermanns Landau Voßkuhle König Kessal-Wulf",1,"Müller","Kessal-Wulf","Huber Maidowski Hermanns",2,0,"4","Hermanns Landau König Kessal-Wulf",1,FALSE,1
"5810",1056,"2 BvR 890/16",2016-05-06,2,0,"http://www.bverfg.de/e/rk20160506a_2bvr089016.html",2016,3,"Hermanns","Müller","Maidowski","Huber","Müller","Maidowski","Hermanns Landau Voßkuhle König Kessal-Wulf",1,"Huber","Hermanns","Müller Maidowski Hermanns",2,0,"1","Hermanns Landau Voßkuhle König Kessal-Wulf",2,FALSE,0
"5832",945,"2 BvR 1385/16",2016-07-20,2,0,"http://www.bverfg.de/e/rk20160720_2bvr138516.html",2016,3,"Huber","Müller","Maidowski","Hermanns","Müller","Langenfeld","Maidowski Kessal-Wulf Voßkuhle König Huber",1,"Hermanns Langenfeld","Huber Maidowski","Müller Maidowski Kessal-Wulf",1,0,"1 5","Maidowski Kessal-Wulf Voßkuhle König Huber",1,FALSE,1
"5833",908,"2 BvQ 46/16",2016-08-26,2,1,"http://www.bverfg.de/e/qk20160826_2bvq004616.html",2016,3,"Müller","Kessal-Wulf","Langenfeld","Hermanns","Müller","Langenfeld","Maidowski Kessal-Wulf Voßkuhle König Huber",1,"Hermanns","Kessal-Wulf","Müller Langenfeld Kessal-Wulf",0,1,"1","Kessal-Wulf Voßkuhle",0,FALSE,0
"5861",541,"2 BvR 1879/17",2017-08-24,2,0,"http://www.bverfg.de/e/rk20170824_2bvr187917.html",2017,3,"Müller","Kessal-Wulf","Maidowski","Hermanns","Müller","Langenfeld","Maidowski Kessal-Wulf Voßkuhle König Huber",1,"Hermanns Langenfeld","Kessal-Wulf Maidowski","Müller Maidowski Kessal-Wulf",1,0,"1 2","Maidowski Kessal-Wulf Voßkuhle König Huber",1,FALSE,0
"5922",5883,"2 BvR 2318/97",2000-12-21,2,0,"http://www.bverfg.de/e/rk20001221_2bvr231897.html",2000,4,"Limbach","Broß","DiFabio","Limbach","Jentsch","DiFabio","Osterloh Broß Sommer Winter Hassemer",1,"Jentsch","Broß","Limbach DiFabio Osterloh",2,0,"2","Osterloh Broß Sommer Hassemer",1,FALSE,1
